Day	Time	Rs	Rn	PAR	Tair	RH	u	SatVapPr	VapPress	Battery	!water
57	1850	118,39	73,897	252,9	22,254	85,093	0,98177	2,6845	2,2837	12,637	0,259
49	1450	427,09	276,31	901,23	23,61	87,931	0,62137	2,9145	2,5615	12,656	0,5225
91	2350	-0,4481	-2,1604	0,11562	18,055	98,419	1,4728	2,0699	2,0372	12,528	0,088
107	1200	257,29	165,91	516,5	18,328	72,354	0,32304	2,1059	1,5237	12,483	0,5695
36	2200	-0,04828	-61,796	0,48664	16,361	78,054	0,4092	1,8595	1,4514	12,699	0,1025
90	50	-0,06713	-22,445	0,03045	8,4888	97,503	0,13773	1,1083	1,0807	12,532	0,0655
33	1150	809,43	500,61	1735,7	23,981	51,032	0,98548	2,98	1,5202	12,708	1,3065
87	1550	618,22	406,61	1312,2	25,742	67,334	1,3135	3,3124	2,2271	12,55	0,743
118	2250	0,01342	-14,602	-0,08522	15,616	92,604	0,04323	1,7731	1,6417	12,465	0,123
111	1450	548,68	357,74	1176	23,282	65,612	0,32952	2,8579	1,8729	12,486	0,769
84	1800	309,39	138,88	634,66	21,268	64,187	0,46664	2,5274	1,6223	12,553	0,2845
77	150	-0,39457	-25,322	-1,4305	12,815	101,38	0,02099	1,4789	1,4994	12,569	0,0705
68	1200	530,79	353,26	1144,8	24,687	76,205	0,74737	3,1085	2,3685	12,603	0,7745
45	2350	-0,21988	-16,235	-2,2379	19,646	96,854	0,06547	2,2866	2,2147	12,678	0,1015
42	400	-0,49081	-0,77764	-1,6727	20,797	101,35	0,65379	2,455	2,4882	12,672	0,049
67	1050	169,64	108,74	360,57	20,572	88,58	0,83261	2,4213	2,1445	12,6	0,494
42	2300	-0,39417	-0,52143	-1,8913	21,626	101,78	0,84002	2,5831	2,629	12,671	0,026
93	2050	-1,4167	-47,501	-0,46247	15,999	80,645	0,36194	1,8173	1,4649	12,528	0,1375
58	200	-0,04828	-9,422	-2,4941	19,977	94,744	0,11272	2,3338	2,2111	12,632	0,102
64	1050	75,404	48,136	164,38	17,259	100,93	0,13959	1,9686	1,9869	12,6	0,1515
